GEO_ID,Median Income
47157003800,11269
47157011400,11511
47157011600,14052
47157000800,14299
47157000200,14345
47157003700,15278
47157011200,15378
47157003900,15399
47157005000,15474
47157002800,16311
47157000600,16379
47157011100,17113
47157011300,18098
47157001300,18369
47157005500,18533
47157000900,18790
47157005800,18969
47157001400,19309
47157005300,19441
47157001900,19773
47157000700,19849
47157004500,20060
47157000300,20428
47157010300,20469
47157007810,20604
47157008110,20671
47157001100,20694
47157005900,20724
47157010110,21180
47157006800,21377
47157007821,21523
47157010630,22065
47157002400,22241
47157006700,22354
47157011500,22450
47157004600,22614
47157020521,22845
47157008200,22902
47157006500,23244
47157002100,23421
47157007900,23426
47157007300,23672
47157005600,23704
47157009902,23969
47157022310,24004
47157022220,24145
47157022022,24247
47157002000,24286
47157008120,24912
47157010120,25101
47157007822,25296
47157009100,25763
47157000400,25789
47157007000,26341
47157020542,26357
47157020512,26381
47157003000,26403
47157010500,26563
47157008900,26567
47157006000,26725
47157021726,26731
47157011700,26786
47157007500,27344
47157006200,27604
47157021710,28018
47157009901,28326
47157021721,29363
47157006900,29534
47157020523,29795
47157010620,30023
47157010220,30096
47157010210,30147
47157010720,30296
47157021732,30635
47157022700,30687
47157008000,30703
47157010610,30819
47157003600,31019
47157022112,31115
47157001500,31250
47157021725,31617
47157020101,32093
47157010000,32697
47157005700,33111
47157022111,33344
47157010810,33413
47157022210,33853
47157022321,34180
47157022500,35061
47157006600,35250
47157002500,35317
47157020610,35661
47157020524,35750
47157020621,35761
47157008800,35825
47157003400,36250
47157011020,36523
47157022410,36607
47157022600,36868
47157022330,37776
47157007400,38125
47157009700,38173
47157006400,38882
47157011010,38919
47157003200,39094
47157008700,39375
47157021731,39544
47157021741,40048
47157011800,40893
47157020532,41378
47157021724,41958
47157022023,42723
47157021900,43095
47157021111,43194
47157022322,43570
47157020511,43750
47157009800,43967
47157021122,44409
47157021334,44436
47157010710,45323
47157002700,45729
47157021746,45729
47157010820,45779
47157022122,45810
47157001200,46140
47157020300,46364
47157022130,46544
47157021747,48393
47157021121,48526
47157021112,49286
47157022024,49667
47157020531,49909
47157021620,51012
47157020222,51563
47157020541,51736
47157021135,52940
47157001700,53639
47157021754,53670
47157020221,53822
47157021312,54769
47157009400,55479
47157021342,55585
47157003100,56023
47157003500,56111
47157020622,56765
47157020400,56923
47157006300,57841
47157021744,58125
47157020210,58482
47157021124,59034
47157009300,59229
47157021333,60060
47157020651,60938
47157021752,61526
47157021126,62413
47157021113,63077
47157021142,64036
47157009500,64080
47157022121,64521
47157021137,64580
47157021140,65382
47157020652,65864
47157021510,65941
47157020635,66000
47157020634,66143
47157021125,68109
47157004200,68682
47157021753,68806
47157020644,69194
47157020102,70291
47157021141,70463
47157003300,70823
47157021010,71286
47157001600,71974
47157021320,72222
47157020633,72629
47157020831,75343
47157020700,75913
47157000100,76627
47157021331,76715
47157021745,77489
47157021751,77779
47157007200,79291
47157020632,80370
47157002600,81061
47157002900,81391
47157020810,81397
47157009200,81458
47157007100,84306
47157021430,87961
47157021138,88452
47157004300,90405
47157021020,90560
47157021351,91622
47157021611,93083
47157020642,93887
47157021420,94643
47157021136,96667
47157020643,97930
47157008600,98065
47157009600,100125
47157020900,102457
47157021410,102734
47157021520,106394
47157021612,106412
47157021613,111159
47157020820,113814
47157021352,114875
47157021139,115491
47157020832,118140
47157008500,120880
47157021530,129375
47157021341,130156
47157021540,134826
47157021311,142569
47157021353,165321
