"GEO_ID","NAME","C17001I_001E","C17001I_001M","C17001I_002E","C17001I_002M","C17001I_003E","C17001I_003M","C17001I_004E","C17001I_004M","C17001I_005E","C17001I_005M","C17001I_006E","C17001I_006M","C17001I_007E","C17001I_007M","C17001I_008E","C17001I_008M","C17001I_009E","C17001I_009M","C17001I_010E","C17001I_010M","C17001I_011E","C17001I_011M","C17001I_012E","C17001I_012M","C17001I_013E","C17001I_013M","C17001I_014E","C17001I_014M","C17001I_015E","C17001I_015M","C17001I_016E","C17001I_016M","C17001I_017E","C17001I_017M","C17001I_018E","C17001I_018M","C17001I_019E","C17001I_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 18 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 18 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 years and over","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 18 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 18 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 18 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 18 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 18 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 18 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 years and over"
"1600000US4748000","Memphis city, Tennessee","49206","4552","14344","4700","8360","2981","5389","2110","2971","1234","0","216","5984","2072","2949","1467","2883","938","152","207","34862","5451","18010","3241","6054","2124","11491","1601","465","278","16852","2816","7004","2092","9019","1090","829","249"
