GEO_ID,occupied,owned,rented,percent_rented
47157020900,2915,2567,348,11.9382504288165
47157021010,5964,3539,2425,40.6606304493628
47157021020,2180,1718,462,21.1926605504587
47157021111,1519,537,982,64.6477946017117
47157021112,2438,1461,977,40.0738310090238
47157021113,1438,887,551,38.317107093185
47157021121,2606,583,2023,77.6285495011512
47157021122,2322,905,1417,61.0249784668389
47157021124,2581,1517,1064,41.2243316543975
47157021125,1891,1122,769,40.6663141195135
47157021126,2019,725,1294,64.0911342248638
47157021135,2837,1145,1692,59.6404652802256
47157021136,1872,1544,328,17.5213675213675
47157021137,3394,2075,1319,38.8626988803771
47157021138,1442,887,555,38.4882108183079
47157021139,1435,1324,111,7.73519163763066
47157021140,2124,1211,913,42.984934086629
47157021141,2740,1694,1046,38.1751824817518
47157021142,1731,794,937,54.1305603697285
47157021311,2115,1534,581,27.4704491725768
47157021312,1148,479,669,58.2752613240418
47157021320,2434,1392,1042,42.810188989318
47157021331,1329,1131,198,14.8984198645598
47157021333,1624,998,626,38.5467980295566
47157021334,1677,372,1305,77.8175313059034
47157021341,1996,1716,280,14.0280561122245
47157021342,4506,1770,2736,60.7190412782956
47157021351,1951,1455,496,25.4228600717581
47157021352,2367,2139,228,9.63244613434727
47157021353,3213,3197,16,0.497976968565204
47157021410,1124,874,250,22.2419928825623
47157021420,1368,1145,223,16.3011695906433
47157021430,1705,1342,363,21.2903225806452
47157021510,3455,1722,1733,50.1591895803184
47157021520,5005,2901,2104,42.037962037962
47157021530,1911,1705,206,10.7796964939822
47157021540,4075,3430,645,15.8282208588957
47157021611,2206,1746,460,20.8522212148685
47157021612,1643,1578,65,3.9561777236762
47157021613,1514,1461,53,3.50066050198151
47157021620,1113,590,523,46.9901168014376
47157021710,1303,264,1039,79.7390636991558
47157021721,1990,278,1712,86.0301507537688
47157021724,921,266,655,71.1183496199783
47157021725,2282,41,2241,98.2033304119194
47157021726,2116,220,1896,89.6030245746692
47157021731,827,237,590,71.3422007255139
47157021732,2741,585,2156,78.6574242977016
47157021741,2766,1716,1050,37.9609544468547
47157021744,2033,1560,473,23.2661091982292
47157021745,2553,2147,406,15.9028593811203
47157021746,1931,769,1162,60.1760745727602
47157021747,1261,847,414,32.8310864393339
47157021751,2251,1786,465,20.6574855619725
47157021752,1750,1025,725,41.4285714285714
47157021753,1074,892,182,16.9459962756052
47157021754,1556,1110,446,28.6632390745501
47157021900,1801,1080,721,40.0333148250972
47157022022,1300,261,1039,79.9230769230769
47157022023,635,301,334,52.5984251968504
47157022024,1256,983,273,21.7356687898089
47157022111,2148,875,1273,59.2644320297952
47157022112,2430,645,1785,73.4567901234568
47157022121,1621,1172,449,27.6989512646514
47157022122,1533,764,769,50.1630789302022
47157022130,1980,1285,695,35.1010101010101
47157022210,1473,961,512,34.7589952477936
47157022220,1346,698,648,48.1426448736999
47157022310,2061,877,1184,57.4478408539544
47157022321,1384,954,430,31.0693641618497
47157022322,1651,1351,300,18.1708055723804
47157022330,1767,1143,624,35.3140916808149
47157022410,2238,1710,528,23.5924932975871
47157022500,1674,910,764,45.6391875746714
47157022600,1331,533,798,59.9549211119459
47157022700,2584,1548,1036,40.0928792569659
